Source,Source_Year,Study,Control_ID,Study_Year_Initial,Study_Year_Final,Duration_Years,Collection_Periods,Continent,Country,Site_Name,Latitude,Longitude,Location_Uncertainty,Phylum,Class,Order,Family,Feeding_Guild,Aggregated_Study,Soil_Fauna,Soil_Depth,Pest,Nitrogen_Deposited,Nitrogen_Added,N_Added_Deposited,Fertilizer_Type,Plot_Size,Treatment_Mean,Treatment_N,Treatment_SD,Treatment_SE,Control_Mean,Control_N,Control_SD,Control_SE,SD_Estimated,Sampling_Method,Unit_Measurement,Treatment_ScalingConstant,Control_ScalingConstant,Biome,Vegetation_Type,Land_Use_Described,MAT,MAP,pH,P,K,Checked,Finished,Reviewer,Study_Quality_1,Study_Quality_2,Study_Quality_3,Study_Quality_Total,Data_Retrieved_From,Notes,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,272.00,Added,NA,16.00,8.64,5.00,4.17,1.87,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,0.00,Added,NA,16.00,4.01,7.00,2.16,0.82,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,10.00,Added,NA,16.00,3.76,4.00,1.70,0.85,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,20.00,Added,NA,16.00,4.68,3.00,1.53,0.88,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,34.00,Added,NA,16.00,5.68,3.00,2.52,1.45,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,54.00,Added,NA,16.00,5.51,4.00,1.29,0.64,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,95.00,Added,NA,16.00,7.21,5.00,1.92,0.86,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,170.00,Added,NA,16.00,5.51,4.00,2.08,1.04,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Detritivore,YES,NO,NA,NO,,272.00,Added,NA,16.00,6.01,5.00,1.58,0.70,4.01,7.00,2.16,0.82,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,0.00,Added,NA,16.00,3.00,3.00,1.00,0.57,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,10.00,Added,NA,16.00,3.01,3.00,1.00,0.57,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,20.00,Added,NA,16.00,3.01,3.00,1.00,0.57,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,34.00,Added,NA,16.00,3.01,3.00,1.00,0.57,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,54.00,Added,NA,16.00,3.51,4.00,1.29,0.64,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,95.00,Added,NA,16.00,3.51,4.00,1.29,0.64,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,170.00,Added,NA,16.00,2.51,4.00,1.29,0.65,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Omnivore,YES,NO,NA,NO,,272.00,Added,NA,16.00,3.51,4.00,1.29,0.64,3.00,3.00,1.00,0.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Meza-Lopez_et_al_2018,2018,2,2a,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Arachnida,NA,NA,Predator,NO,NO,NA,NO,,0.00,Added,NO3,4.00,1.75,8.00,1.04,0.37,1.75,8.00,1.04,0.37,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2a,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Arachnida,NA,NA,Predator,NO,NO,NA,NO,,20.00,Added,NO3,4.00,1.25,8.00,0.46,0.16,1.75,8.00,1.04,0.37,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2b,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Insecta,NA,NA,Herbivore,NO,NO,NA,NO,,0.00,Added,NO3,4.00,2.71,17.00,1.65,0.40,2.71,17.00,1.65,0.40,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2b,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Insecta,NA,NA,Herbivore,NO,NO,NA,NO,,20.00,Added,NO3,4.00,2.60,15.00,1.88,0.49,2.71,17.00,1.65,0.40,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2c,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Insecta,NA,NA,Omnivore,NO,NO,NA,NO,,0.00,Added,NO3,4.00,1.29,7.00,0.49,0.18,1.29,7.00,0.49,0.18,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2c,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Insecta,NA,NA,Omnivore,NO,NO,NA,NO,,20.00,Added,NO3,4.00,1.43,7.00,0.79,0.30,1.29,7.00,0.49,0.18,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2d,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Insecta,NA,NA,Parasitoid,NO,NO,NA,NO,,0.00,Added,NO3,4.00,1.83,6.00,1.17,0.48,1.83,6.00,1.17,0.48,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,2,2d,2012,2012,1,1,North_America,USA,San_Diego,32.874136,-117.248575,100,Arthropoda,Insecta,NA,NA,Parasitoid,NO,NO,NA,NO,,20.00,Added,NO3,4.00,1.50,2.00,0.71,0.50,1.83,6.00,1.17,0.48,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
Meza-Lopez_et_al_2018,2018,3,3a,2012,2012,1,1,North_America,USA,Santa_Monica,34.065025,-118.986897,100,Arthropoda,Arachnida,NA,NA,Predator,NO,NO,NA,NO,,0.00,Added,NO3,4.00,2.00,5.00,1.00,0.45,2.00,5.00,1.00,0.45,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,
