"Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR"
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",54,"Added",NA,16,25.47,5,6.82,3.05,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,25.47,8.53,6.82,1.06569037656904,0.0636228300539008,0.0650026795436319,0.0259197531547298,0.0260896155402446
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",95,"Added",NA,16,21.42,6,5.62,2.29,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,21.42,8.53,5.62,0.896234309623431,-0.109553393917862,-0.109606835418192,0.0230531711746077,0.0231860362059031
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",170,"Added",NA,16,28.58,6,9.69,3.95,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,28.58,8.53,9.69,1.19581589958159,0.178828713564256,0.182618178346291,0.0307389837393366,0.0309895650630027
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",272,"Added",NA,16,27.08,6,7.63,3.12,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,27.08,8.53,7.63,1.13305439330544,0.124916989106609,0.125742594928648,0.0248112658193454,0.0249658471722083
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",10,"Added",NA,16,39.48,6,17.99,7.34,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,39.48,29.17,17.99,0.624683544303797,-0.470510086587531,-0.462890007805283,0.053972700608298,0.054759029311684
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",20,"Added",NA,16,32.17,4,20.99,10.49,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,32.17,29.17,20.99,0.509018987341772,-0.675269959901877,-0.631738254723687,0.12579595340018,0.131647118228866
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",34,"Added",NA,16,29.35,6,9.64,3.94,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,29.35,29.17,9.64,0.464398734177215,-0.767011754878706,-0.767704954419819,0.0373461439615765,0.03769530810438
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",54,"Added",NA,16,25.71,5,8.52,3.81,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,25.71,29.17,8.52,0.406803797468354,-0.899424279875014,-0.898125577550542,0.0413299476927443,0.0417586754645432
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",95,"Added",NA,16,18.02,5,4.37,1.96,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,18.02,29.17,4.37,0.285126582278481,-1.25482204897262,-1.25862415600855,0.0311283289719407,0.0313850282059997
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",170,"Added",NA,16,15.7,5,8.99,4.02,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,15.7,29.17,8.99,0.248417721518987,-1.39264358879855,-1.3695383355782,0.0849430494844955,0.0872807326248032
"Haddad_et_al_2000",2000,1,"1c",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Parasitoid","YES","NO",NA,"NO","",272,"Added",NA,16,13.43,5,7.17,3.21,63.2,11,29.17,8.8,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",63.2,13.43,29.17,7.17,0.2125,-1.54881329061767,-1.52999370772327,0.0763717088325969,0.0781840450104187
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",10,"Added",NA,16,7.52,4,2.64,1.32,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,7.52,4.67,2.64,0.711447492904447,-0.340453661920398,-0.335892479003676,0.0525005404589955,0.053210421535717
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",20,"Added",NA,16,12.01,5,5.52,2.47,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,12.01,4.67,5.52,1.13623462630085,0.127719836209746,0.138000069921094,0.0639386420482478,0.0650663627401512
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",34,"Added",NA,16,9.81,5,3.76,1.68,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,9.81,4.67,3.76,0.928098391674551,-0.0746175263048745,-0.0707715328343421,0.0510701615666158,0.0517369935830012
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",54,"Added",NA,16,12.62,5,5.59,2.5,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,12.62,4.67,5.59,1.19394512771996,0.177263057230921,0.186038780250576,0.0609296206648617,0.0619347386479704
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",95,"Added",NA,16,12,5,5.1,2.28,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,12,4.67,5.1,1.1352885525071,0.126886849905854,0.134104806249466,0.0578140873127755,0.0587018033795061
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",170,"Added",NA,16,11.52,6,6.84,2.79,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,11.52,4.67,6.84,1.08987701040681,0.0860648553855988,0.104598566937544,0.0804455977294422,0.0824069697418447
"Haddad_et_al_2000",2000,1,"1d",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Detritivore","YES","NO",NA,"NO","",272,"Added",NA,16,15.33,6,5.55,2.27,10.57,9,4.67,1.56,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",10.57,15.33,4.67,5.55,1.45033112582781,0.371791893001576,0.371869808026541,0.0435340046754796,0.0440078131370019
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",10,"Added",NA,16,73.98,6,45.99,18.78,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,73.98,45.33,45.99,1.2717895822589,0.240425028481638,0.222024714075425,0.165618735106689,0.172814698031521
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",20,"Added",NA,16,93.27,6,46.2,18.86,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,93.27,45.33,46.2,1.60340381640021,0.472128754816102,0.441970403228582,0.142102660744074,0.148060478462187
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",34,"Added",NA,16,51.66,6,16.35,6.67,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,51.66,45.33,16.35,0.888086642599278,-0.118685970254976,-0.160943521958808,0.117904260511448,0.123165314849138
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",54,"Added",NA,16,93.39,5,48.68,21.77,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,93.39,45.33,48.68,1.60546673543063,0.473414515198956,0.449980346754155,0.155551027029512,0.162149217782695
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",95,"Added",NA,16,80.77,6,75.15,30.68,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,80.77,45.33,75.15,1.38851641739728,0.328235851531535,0.349771080326197,0.245489821508438,0.261019900703738
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",170,"Added",NA,16,48.03,6,53.31,21.76,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,48.03,45.33,53.31,0.825683341928829,-0.191543942245937,-0.139486493638074,0.306534261134841,0.332735052402772
"Haddad_et_al_2000",2000,1,"1e",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Omnivore","YES","NO",NA,"NO","",272,"Added",NA,16,45.4,6,20.75,8.47,58.17,6,45.33,18.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",58.17,45.4,45.33,20.75,0.780471033178614,-0.247857652875368,-0.281054719430389,0.136025230809072,0.141752991891096
"Meza-Lopez_et_al_2018",2018,2,"2a",2012,2012,1,1,"North_America","USA","San_Diego",32.88122259,-117.2460887,100,"Arthropoda","Arachnida","Trombidiformes",NA,NA,NA,NA,"Predator","NO","NO",NA,NA,"3.82",20,"Added","NO3",4,1.25,4,0.5,0.25,1,2,0,0,"FromSource","Vacuum","Individuals",NA,NA,NA,"Low elevation scrubland","Experiment with plants of Artemisia californica under different N treatments from different sites",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild","","Treatment",1,1.25,0.249687796860001,0.5,1.25,0.22314355131421,0.227557552339009,0.0711719979504007,0.0724578446785105
"Meza-Lopez_et_al_2018",2018,2,"2b",2012,2012,1,1,"North_America","USA","San_Diego",32.88122259,-117.2460887,100,"Arthropoda","Arachnida","Araneae",NA,NA,NA,NA,"Predator","NO","NO",NA,NA,"3.82",20,"Added","NO3",4,1.83,6,1.33,0.54,1.83,12,1.19,0.34,"FromSource","Vacuum","Individuals",NA,NA,NA,"Low elevation scrubland","Experiment with plants of Artemisia californica under different N treatments from different sites",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild","","Treatment",1.83,1.83,1.19,1.33,1,0,0.0263979714732201,0.123271820597808,0.127767658934084
"Meza-Lopez_et_al_2018",2018,2,"2c",2012,2012,1,1,"North_America","USA","San_Diego",32.88122259,-117.2460887,100,"Arthropoda","Insecta","Coleoptera",NA,NA,NA,NA,"Herbivore","NO","NO",NA,NA,"3.82",20,"Added","NO3",4,1.67,3,1.15,0.67,1,3,0,0,"FromSource","Vacuum","Individuals",NA,NA,NA,"Low elevation scrubland","Experiment with plants of Artemisia californica under different N treatments from different sites",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild","","Treatment",1,1.67,0.249687796860001,1.15,1.67,0.512823626428664,0.58146651011233,0.178848431301199,0.191556967126334
