Source,Source_Year,Study,Control_ID,Study_Year_Initial,Study_Year_Final,Duration_Years,Collection_Periods,Continent,Country,Site_Name,Latitude,Longitude,Location_Uncertainty,Phylum,Class,Order,Family,Genus,Species,Binomial,Feeding_Guild,Aggregated_Study,Soil_Fauna,Soil_Depth,Pest,Nitrogen_Deposited,Nitrogen_Added,N_Added_Deposited,Fertilizer_Type,Plot_Size,Treatment_Mean,Treatment_N,Treatment_SD,Treatment_SE,Control_Mean,Control_N,Control_SD,Control_SE,SD_Estimated,Sampling_Method,Unit_Measurement,Treatment_ScalingConstant,Control_ScalingConstant,Biome,Vegetation_Type,Land_Use_Described,MAT,MAP,pH,P,K,Checked,Finished,Reviewer,Study_Quality_1,Study_Quality_2,Study_Quality_3,Study_Quality_Total,Data_Retrieved_From,Notes
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,0.00,Added,NA,16,10.57,9.00,4.67,1.56,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,10.00,Added,NA,16,7.52,4.00,2.64,1.32,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,20.00,Added,NA,16,12.01,5.00,5.52,2.47,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,34.00,Added,NA,16,9.81,5.00,3.76,1.68,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,54.00,Added,NA,16,12.62,5.00,5.59,2.50,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,95.00,Added,NA,16,12.00,5.00,5.10,2.28,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,170.00,Added,NA,16,11.52,6.00,6.84,2.79,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1d,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Detritivore,YES,NO,NA,NO,,272.00,Added,NA,16,15.33,6.00,5.55,2.27,10.57,9.00,4.67,1.56,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,0.00,Added,NA,16,58.17,6.00,45.33,18.50,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,10.00,Added,NA,16,73.98,6.00,45.99,18.78,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,20.00,Added,NA,16,93.27,6.00,46.20,18.86,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,34.00,Added,NA,16,51.66,6.00,16.35,6.67,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,54.00,Added,NA,16,93.39,5.00,48.68,21.77,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,95.00,Added,NA,16,80.77,6.00,75.15,30.68,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,170.00,Added,NA,16,48.03,6.00,53.31,21.76,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1e,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Omnivore,YES,NO,NA,NO,,272.00,Added,NA,16,45.40,6.00,20.75,8.47,58.17,6.00,45.33,18.50,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Meza-Lopez_et_al_2018,2018,2,2a,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,NA,Predator,NO,NO,NA,NA,3.82,0.00,Added,NO3,4,1.00,2.00,0.00,0.00,1.00,2.00,0.00,0.00,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2a,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,NA,Predator,NO,NO,NA,NA,3.82,20.00,Added,NO3,4,1.25,4.00,0.50,0.25,1.00,2.00,0.00,0.00,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2b,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Arachnida,Araneae,NA,NA,NA,NA,Predator,NO,NO,NA,NA,3.82,0.00,Added,NO3,4,1.83,12.00,1.19,0.34,1.83,12.00,1.19,0.34,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2b,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Arachnida,Araneae,NA,NA,NA,NA,Predator,NO,NO,NA,NA,3.82,20.00,Added,NO3,4,1.83,6.00,1.33,0.54,1.83,12.00,1.19,0.34,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2c,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,Herbivore,NO,NO,NA,NA,3.82,0.00,Added,NO3,4,1.00,3.00,0.00,0.00,1.00,3.00,0.00,0.00,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2c,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,Herbivore,NO,NO,NA,NA,3.82,20.00,Added,NO3,4,1.67,3.00,1.15,0.67,1.00,3.00,0.00,0.00,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2d,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,Omnivore,NO,NO,NA,NA,3.82,0.00,Added,NO3,4,1.22,9.00,0.44,0.15,1.22,9.00,0.44,0.15,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
Meza-Lopez_et_al_2018,2018,2,2d,2012,2012,1,1,North_America,USA,San_Diego,32.88122259,-117.2460887,100,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,Omnivore,NO,NO,NA,NA,3.82,20.00,Added,NO3,4,1.40,10.00,0.70,0.22,1.22,9.00,0.44,0.15,FromSource,Vacuum,Individuals,,,NA,Low elevation scrubland,Experiment with plants of Artemisia californica under different N treatments from different sites,NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",
